City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
103,Udachnyy,RU,63.84,scattered clouds,66.4167,112.4,Severnoye Siyaniye
104,Cochrane,CA,93.2,broken clouds,51.1834,-114.4687,Days Inn & Suites by Wyndham Cochrane
105,Inongo,CD,71.69,broken clouds,-1.95,18.2667,Hotel Du Lac
107,Butaritari,KI,83.01,few clouds,3.0707,172.7902,Isles Sunset Lodge
108,Atuona,PF,76.91,scattered clouds,-9.8,-139.0333,Villa Enata
109,Mbandaka,CD,73.44,overcast clouds,0.0487,18.2603,Guest House Epervier
110,Lompoc,US,90.7,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
111,Sept-Iles,CA,61.48,overcast clouds,50.2001,-66.3821,Comfort Inn
112,Brae,GB,49.91,overcast clouds,60.3964,-1.353,Busta House Hotel
113,Shingu,JP,78.91,overcast clouds,33.7333,135.9833,Shingu UI Hotel
114,Sungaipenuh,ID,61.99,overcast clouds,-2.0833,101.3833,Hotel Jaya Wisata 2
115,Hilo,US,78.62,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
116,Zaltan,LY,86.32,clear sky,32.947,11.8665,زلطن الشرقية
119,Carnarvon,AU,50.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
120,Phangnga,TH,83.91,overcast clouds,8.4509,98.5298,Sunimit Mansion
121,Ustka,PL,61.84,overcast clouds,54.5805,16.8619,Hotel Royal Baltic Luxury Boutique
123,Amahai,ID,76.86,scattered clouds,-3.3333,128.9167,HOTEL ISABELA
124,Ancud,CL,49.53,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
126,Barrow,US,50.02,overcast clouds,71.2906,-156.7887,King Eider Inn
127,Faya,SA,66.72,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
128,Chuy,UY,54.36,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
130,Nantucket,US,75.96,clear sky,41.2835,-70.0995,Jared Coffin House
131,Berlevag,NO,57.0,moderate rain,70.8578,29.0864,Kvitbrakka
132,Seoul,KR,77.41,overcast clouds,37.5683,126.9778,롯데호텔 서울
134,Lebu,CL,53.15,clear sky,-37.6167,-73.65,Hostal Las Lilas
135,Yar-Sale,RU,54.84,moderate rain,66.8333,70.8333,Yalemd
136,Bad Doberan,DE,63.99,overcast clouds,54.1071,11.9005,Friedrich-Franz-Palais
137,Jacareacanga,BR,99.39,clear sky,-6.2222,-57.7528,Casa do Ian😎
138,Castrillon,ES,62.22,scattered clouds,43.3979,-6.7922,HR PALACIO DE PRELO 4 estrellas
139,Mandera,KE,81.77,overcast clouds,3.9366,41.867,Kornesh Hotel and Lodging
140,Poco Verde,BR,71.92,scattered clouds,-10.7083,-38.1833,Hotel Santa Cruz
141,Phalauda,IN,82.44,overcast clouds,29.1833,77.8167,Pal tent house
142,Eureka,US,71.13,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
143,Ahipara,NZ,55.45,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
144,Hovd,MN,54.64,clear sky,48.0056,91.6419,Hotel Khovd
146,Chabahar,IR,83.59,few clouds,25.2919,60.643,هتل گدروشیا
147,Chifeng,CN,62.71,broken clouds,42.2683,118.9636,Junyu Tiancheng Hotel
148,Palora,EC,67.77,overcast clouds,-1.7,-77.9333,Rancho grande
149,Cape Town,ZA,58.12,broken clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
150,Kalmunai,LK,81.36,overcast clouds,7.4167,81.8167,VS Villa
151,Port Elizabeth,ZA,59.29,scattered clouds,-33.918,25.5701,39 On Nile Guest House
152,Vilhena,BR,90.0,clear sky,-12.7406,-60.1458,Hotel Mirage
154,Sakaiminato,JP,79.63,overcast clouds,35.55,133.2333,味処・民宿 まつや
155,Tiarei,PF,80.62,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
156,Itapirapua,BR,92.93,broken clouds,-15.8233,-50.6133,Hotel Nossa Senhora Aparecida
157,Simao,CN,63.72,scattered clouds,22.7886,100.9748,Changyu Hotel
