City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
152,Vilhena,BR,-12.7406,-60.1458,90.0,17,0,5.21,clear sky
153,Jurm,AF,36.8648,70.8342,64.35,41,0,2.08,clear sky
154,Sakaiminato,JP,35.55,133.2333,79.63,74,100,7.58,overcast clouds
155,Tiarei,PF,-17.5333,-149.3333,80.62,63,27,9.48,scattered clouds
156,Itapirapua,BR,-15.8233,-50.6133,92.93,19,58,7.78,broken clouds
157,Simao,CN,22.7886,100.9748,63.72,98,36,1.79,scattered clouds
158,Portland,US,45.5234,-122.6762,92.64,47,40,1.01,scattered clouds
159,Provideniya,RU,64.3833,-173.3,41.92,89,100,13.87,overcast clouds
160,Kaeo,NZ,-35.1,173.7833,48.33,93,26,4.99,scattered clouds
161,Calbuco,CL,-41.768,-73.1273,54.61,59,50,3.15,scattered clouds
162,Khatanga,RU,71.9667,102.5,61.34,64,80,11.48,broken clouds
163,Narsaq,GL,60.9167,-46.05,61.02,66,100,9.82,overcast clouds
164,Hervey Bay,AU,-25.2986,152.8535,65.01,93,2,3.0,clear sky
165,Yulara,AU,-25.2406,130.9889,49.84,50,0,9.22,clear sky
166,Moose Factory,CA,51.2585,-80.6094,63.59,53,25,9.71,scattered clouds
167,Fortuna,US,40.5982,-124.1573,70.86,72,20,12.66,few clouds
168,Vitim,RU,59.4511,112.5578,56.32,83,100,3.65,light rain
169,Green River,US,41.5286,-109.4662,84.18,40,100,4.0,overcast clouds
170,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,72.73,25,0,5.48,clear sky
171,Thompson,CA,55.7435,-97.8558,84.07,27,39,7.61,scattered clouds
172,Kodiak,US,57.79,-152.4072,54.91,88,90,9.22,haze
173,Cabo San Lucas,MX,22.8909,-109.9124,99.52,68,20,1.01,few clouds
174,Hasaki,JP,35.7333,140.8333,77.4,90,12,7.09,few clouds
175,Mayskiy,RU,47.6931,40.1025,87.44,47,19,8.63,few clouds
176,Kisujszallas,HU,47.2167,20.7667,71.62,58,58,2.51,broken clouds
177,Patu,BR,-6.11,-37.6367,83.23,43,85,16.31,overcast clouds
178,Praia Da Vitoria,PT,38.7333,-27.0667,77.76,86,96,17.38,overcast clouds
179,Myanaung,MM,18.2833,95.3167,77.36,88,100,7.45,overcast clouds
180,Huntsville,US,34.7304,-86.5861,85.82,75,40,3.0,scattered clouds
181,Tuktoyaktuk,CA,69.4541,-133.0374,60.01,66,100,19.17,overcast clouds
182,Mamontovo,RU,52.7055,81.6244,65.64,55,83,6.13,broken clouds
183,Port Hedland,AU,-20.3167,118.5667,60.85,39,0,12.66,clear sky
184,Ola,RU,59.5833,151.2833,50.29,58,3,17.16,clear sky
185,Vila Velha,BR,-20.3297,-40.2925,72.97,62,0,9.22,clear sky
186,Kontagora,NG,10.3999,5.4695,71.29,98,100,5.39,moderate rain
187,Walvis Bay,NA,-22.9575,14.5053,72.64,25,0,15.01,clear sky
188,Swan Hill,AU,-35.3378,143.5544,42.01,76,0,7.52,clear sky
189,Fairbanks,US,64.8378,-147.7164,73.36,58,20,3.44,few clouds
190,Kyzyl-Suu,KG,42.3414,78.0056,61.16,45,99,3.29,overcast clouds
191,Codrington,AU,-38.2667,141.9667,43.43,86,0,15.79,clear sky
192,Clyde River,CA,70.4692,-68.5914,39.61,88,100,7.25,overcast clouds
193,Grindavik,IS,63.8424,-22.4338,55.56,87,75,6.91,broken clouds
194,Kavieng,PG,-2.5744,150.7967,81.5,76,2,8.75,clear sky
195,Saint-Francois,FR,46.4154,3.9054,62.04,67,40,3.44,scattered clouds
196,Arman,RU,59.7,150.1667,49.08,60,0,13.04,clear sky
197,Ojinaga,MX,29.5667,-104.4167,79.75,57,40,14.97,scattered clouds
198,Hofn,IS,64.2539,-15.2082,54.37,92,98,2.8,overcast clouds
199,Margate,GB,51.3813,1.3862,60.89,87,100,1.99,overcast clouds
200,Sabzevar,IR,36.2126,57.6819,78.44,13,7,16.89,clear sky
201,Ulaanbaatar,MN,47.9077,106.8832,68.13,37,20,17.9,light rain
202,Alyangula,AU,-13.8483,136.4192,62.47,100,90,4.61,overcast clouds
203,Hithadhoo,MV,-0.6,73.0833,80.98,72,96,5.59,moderate rain
204,Kagalnik,RU,47.0769,39.323,88.72,47,41,7.52,scattered clouds
205,Khvoynaya,RU,58.9,34.5333,62.37,87,100,5.3,overcast clouds
206,Umm Lajj,SA,25.0213,37.2685,87.82,55,5,2.95,clear sky
207,Ketchikan,US,55.3422,-131.6461,66.67,72,90,9.22,overcast clouds
208,Kodinsk,RU,58.6881,99.1844,56.66,98,100,4.65,light rain
209,Tabou,CI,4.423,-7.3528,76.24,82,74,7.7,broken clouds
210,Marystown,CA,47.1666,-55.1483,63.93,74,88,16.35,overcast clouds
211,Pisco,PE,-13.7,-76.2167,66.25,72,0,10.36,clear sky
212,Sigli,ID,5.3848,95.9609,80.62,68,100,6.2,overcast clouds
213,Mar Del Plata,AR,-38.0023,-57.5575,52.09,30,20,5.75,mist
214,Padang,ID,-0.9492,100.3543,75.16,90,100,4.27,overcast clouds
215,Yerbogachen,RU,61.2767,108.0108,60.17,57,100,5.19,overcast clouds
216,Freistadt,AT,48.511,14.5045,58.44,98,100,6.98,overcast clouds
217,Lagoa,PT,39.05,-27.9833,72.3,94,52,17.43,broken clouds
218,Tabas,IR,33.5959,56.9244,87.51,10,2,8.72,clear sky
219,Esperance,AU,-33.8667,121.9,54.1,58,68,24.29,broken clouds
220,Calama,CL,-22.4667,-68.9333,68.49,13,87,17.27,overcast clouds
221,Warrnambool,AU,-38.3833,142.4833,45.81,85,3,13.71,clear sky
222,Sokolo,ML,14.7328,-6.1219,87.62,48,38,6.53,scattered clouds
223,Rongotea,NZ,-40.3,175.4167,44.51,95,70,3.87,broken clouds
224,Xining,CN,36.6167,101.7667,59.56,65,21,3.11,few clouds
